zaman,istasyon,basinc_bar,debi_m3h,seviye_%,klor_mgl,enerji_kwh
2026-03-15 15:35:27.241418,IST-02,4.44,100.8,77.82,0.487,77.52
2026-03-15 15:50:27.241420,IST-03,4.232,102.75,78.8,0.51,100.51
2026-03-15 16:05:27.241422,IST-04,4.112,98.68,80.18,0.56,86.16
2026-03-15 16:20:27.241423,IST-05,4.289,92.71,78.96,0.418,96.79
2026-03-15 16:35:27.241425,IST-06,4.079,100.41,77.6,0.709,85.68
2026-03-15 16:50:27.241427,IST-07,4.221,94.71,77.73,0.399,105.61
2026-03-15 17:05:27.241430,IST-08,4.009,102.7,78.88,0.379,102.55
2026-03-15 17:20:27.241432,IST-09,4.082,96.38,77.21,0.616,82.51
2026-03-15 17:35:27.241434,IST-10,4.249,109.71,77.88,0.579,94.72
2026-03-15 17:50:27.241435,IST-01,1.8,99.34,77.43,0.562,91.45
2026-03-15 18:05:27.241437,IST-02,1.8,103.24,76.43,0.563,98.69
2026-03-15 18:20:27.241439,IST-03,1.8,110.77,78.92,0.499,75.35
2026-03-15 18:35:27.241441,IST-04,1.8,102.63,77.1,0.41,91.86
2026-03-15 18:50:27.241442,IST-05,1.8,112.21,74.12,0.508,95.58
2026-03-15 19:05:27.241444,IST-06,4.331,120.04,76.01,0.432,67.41
2026-03-15 19:20:27.241446,IST-07,4.395,108.02,74.83,0.598,73.17
2026-03-15 19:35:27.241448,IST-08,4.586,119.6,76.02,0.485,64.61
2026-03-15 19:50:27.241449,IST-09,4.554,122.62,74.04,0.417,82.31
2026-03-15 20:05:27.241451,IST-10,4.383,127.85,74.39,0.468,92.18
2026-03-15 20:20:27.241453,IST-01,4.63,120.31,74.68,0.541,100.02
2026-03-15 20:35:27.241455,IST-02,4.595,122.33,74.72,0.444,85.74
2026-03-15 20:50:27.241456,IST-03,4.601,133.82,72.33,0.418,101.29
2026-03-15 21:05:27.241459,IST-04,4.761,134.79,72.89,0.524,71.2
2026-03-15 21:20:27.241460,IST-05,4.83,136.41,72.44,0.524,67.97
2026-03-15 21:35:27.241462,IST-06,4.844,138.48,71.97,0.449,84.44
2026-03-15 21:50:27.241464,IST-07,4.687,134.64,74.1,0.453,88.84
2026-03-15 22:05:27.241466,IST-08,4.754,140.18,72.47,0.523,84.67
2026-03-15 22:20:27.241467,IST-09,4.828,141.14,70.54,0.355,64.33
2026-03-15 22:35:27.241469,IST-10,4.897,136.4,72.47,0.359,84.11
2026-03-15 22:50:27.241471,IST-01,4.751,185.0,73.44,0.428,71.96
2026-03-15 23:05:27.241473,IST-02,4.775,185.0,72.14,0.479,91.7
2026-03-15 23:20:27.241474,IST-03,4.671,185.0,69.39,0.531,88.67
2026-03-15 23:35:27.241476,IST-04,4.647,185.0,70.24,0.648,75.6
2026-03-15 23:50:27.241478,IST-05,4.827,185.0,71.83,0.586,79.86
2026-03-16 00:05:27.241481,IST-06,4.856,185.0,69.71,0.484,74.41
2026-03-16 00:20:27.241482,IST-07,4.685,185.0,70.74,0.498,84.37
2026-03-16 00:35:27.241484,IST-08,4.76,126.56,70.97,0.4,94.55
2026-03-16 00:50:27.241486,IST-09,4.661,133.15,69.19,0.498,75.14
2026-03-16 01:05:27.241488,IST-10,4.523,127.93,70.0,0.471,90.04
2026-03-16 01:20:27.241489,IST-01,4.586,127.4,66.78,1.8,79.7
2026-03-16 01:35:27.241491,IST-02,4.664,130.15,68.98,1.8,77.07
2026-03-16 01:50:27.241493,IST-03,4.467,116.79,69.75,1.8,83.93
2026-03-16 02:05:27.241495,IST-04,4.588,111.64,68.79,0.653,74.65
2026-03-16 02:20:27.241496,IST-05,4.131,108.44,71.71,0.489,79.46
2026-03-16 02:35:27.241498,IST-06,4.439,106.4,68.72,0.54,73.02
2026-03-16 02:50:27.241500,IST-07,4.332,107.86,69.8,0.569,104.65
2026-03-16 03:05:27.241502,IST-08,4.263,107.92,70.49,0.46,85.35
2026-03-16 03:20:27.241504,IST-09,4.276,105.81,71.93,0.522,78.0
2026-03-16 03:35:27.241506,IST-10,4.045,107.04,69.21,0.501,87.14
2026-03-16 03:50:27.241508,IST-01,6.9,101.75,71.98,0.51,83.88
2026-03-16 04:05:27.241509,IST-02,6.9,108.05,71.01,0.423,82.79
2026-03-16 04:20:27.241511,IST-03,6.9,98.9,70.23,0.502,91.14
2026-03-16 04:35:27.241513,IST-04,4.148,113.6,71.9,0.55,92.58
2026-03-16 04:50:27.241516,IST-05,4.121,103.26,71.87,0.645,79.69
2026-03-16 05:05:27.241518,IST-06,4.159,96.33,71.33,0.596,79.24
2026-03-16 05:20:27.241519,IST-07,4.313,96.07,72.27,0.715,82.25
2026-03-16 05:35:27.241521,IST-08,4.271,104.98,72.09,0.423,61.98
2026-03-16 05:50:27.241523,IST-09,4.207,102.9,72.88,0.587,69.85
2026-03-16 06:05:27.241525,IST-10,4.337,109.31,73.73,0.518,98.67
2026-03-16 06:20:27.241526,IST-01,4.325,110.08,15.0,0.719,101.45
2026-03-16 06:35:27.241528,IST-02,4.445,109.54,15.0,0.419,82.51
2026-03-16 06:50:27.241530,IST-03,4.314,108.04,15.0,0.416,90.77
2026-03-16 07:05:27.241532,IST-04,4.389,107.2,15.0,0.44,88.11
2026-03-16 07:20:27.241534,IST-05,4.421,115.13,15.0,0.288,115.79
2026-03-16 07:35:27.241535,IST-06,4.354,124.28,75.59,0.447,96.2
