zaman,istasyon,basinc_bar,debi_m3h,seviye_%,klor_mgl,enerji_kwh
2026-03-16 03:39:20.084007,IST-10,4.045,107.04,69.21,0.501,87.14
2026-03-16 03:54:20.084008,IST-01,6.9,101.75,71.98,0.51,83.88
2026-03-16 04:09:20.084010,IST-02,6.9,108.05,71.01,0.423,82.79
2026-03-16 04:24:20.084012,IST-03,6.9,98.9,70.23,0.502,91.14
2026-03-16 04:39:20.084013,IST-04,4.148,113.6,71.9,0.55,92.58
2026-03-16 04:54:20.084015,IST-05,4.121,103.26,71.87,0.645,79.69
2026-03-16 05:09:20.084017,IST-06,4.159,96.33,71.33,0.596,79.24
2026-03-16 05:24:20.084019,IST-07,4.313,96.07,72.27,0.715,82.25
2026-03-16 05:39:20.084020,IST-08,4.271,104.98,72.09,0.423,61.98
2026-03-16 05:54:20.084022,IST-09,4.207,102.9,72.88,0.587,69.85
2026-03-16 06:09:20.084024,IST-10,4.337,109.31,73.73,0.518,98.67
2026-03-16 06:24:20.084025,IST-01,4.325,110.08,15.0,0.719,101.45
2026-03-16 06:39:20.084027,IST-02,4.445,109.54,15.0,0.419,82.51
2026-03-16 06:54:20.084029,IST-03,4.314,108.04,15.0,0.416,90.77
2026-03-16 07:09:20.084031,IST-04,4.389,107.2,15.0,0.44,88.11
2026-03-16 07:24:20.084033,IST-05,4.421,115.13,15.0,0.288,115.79
2026-03-16 07:39:20.084034,IST-06,4.354,124.28,75.59,0.447,96.2
